R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
196,UT,11,Solar Photovoltaic,1,35,34.149,652.3,0,18715,0,None,9.144,0,0.033,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
197,WY,10,Conventional Hydroelectric,1,12,19.408,232.896,466,46475,0,None,9.118,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
198,WY,10,Conventional Steam Coal,1,6,220,1320,0,64584.382,1.857,mountain_reference_coal,11.111,0.285,0.33,0.486,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
199,WY,10,Conventional Steam Coal,2,3,570,1710,0,55029.333,1.857,mountain_reference_coal,10.182,0.116,0.129,0.368,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
200,WY,10,Conventional Steam Coal,3,4,149.25,597,0,70458.546,1.857,mountain_reference_coal,12.434,0.492,0.382,0.345,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
201,WY,10,Conventional Steam Coal,4,6,440.333,2641.998,0,60987.378,1.857,mountain_reference_coal,10.559,0.276,0.186,0.208,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
202,WY,10,Natural Gas Fired Combined Cycle,1,1,94,94,0,16291,4.495,mountain_reference_naturalgas,7.814,0,,0.479,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
203,WY,10,Natural Gas Fired Combustion Turbine,1,3,6,18,0,11493,11.728,mountain_reference_naturalgas,19.439,0,0,0.083,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
204,WY,10,Natural Gas Fired Combustion Turbine,2,4,37.5,150,0,11493,11.728,mountain_reference_naturalgas,10.721,0.661,0.902,0.596,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
205,WY,10,Natural Gas Fired Combustion Turbine,3,3,6,18,0,11493,11.728,mountain_reference_naturalgas,16.671,0,0,0.083,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
206,WY,10,Natural Gas Fired Combustion Turbine,4,3,6,18,0,11493,11.728,mountain_reference_naturalgas,21.393,0,0,0.083,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
207,WY,10,Onshore Wind Turbine,1,35,86.209,3089.7,0,45062,0,None,9.164,0,0.026,0.008,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
208,WY,10,Small Hydroelectric,1,18,1.845,33.21,0,46475,0,None,9.118,0,0,0.031,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
