Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,368,11731,17412,10559,13786,25841,13569
,,,,,,,,369,11929,18016,11424,14788,27678,14014
,,,,,,,,370,12188,18118,11851,15621,28585,14435
,,,,,,,,371,13400,19997,12035,16482,29399,14859
,,,,,,,,372,14959,21695,12295,17961,30210,15504
,,,,,,,,373,16887,24667,12530,19651,30518,15915
,,,,,,,,374,18271,26548,12689,21182,30200,16059
,,,,,,,,375,20678,30157,12754,23018,30754,16688
,,,,,,,,376,24309,34869,13329,25667,33052,18377
,,,,,,,,377,27849,39536,14274,28565,35962,20137
,,,,,,,,378,30080,42213,15380,30594,38352,21945
,,,,,,,,379,27404,38458,15544,30040,35578,20154
,,,,,,,,380,23778,33368,14292,26634,31201,17313
,,,,,,,,381,23502,32981,13065,23671,29769,16666
,,,,,,,,382,22337,31347,12346,21471,27823,15836
,,,,,,,,383,20051,28138,11374,19301,24787,14437
,,,,,,,,384,18133,25448,10374,17456,22642,13389
,,,,,,,,385,16763,23525,9738,16186,21193,12718
,,,,,,,,386,16000,22453,9380,15375,20530,12274
,,,,,,,,387,15449,21681,9225,14908,20237,11993
,,,,,,,,388,15076,21319,9242,14741,20881,11985
,,,,,,,,389,14332,20381,9556,14805,22162,12038
,,,,,,,,390,14025,20059,10207,14570,25051,12850
,,,,,,,,391,14391,20519,11329,14966,28662,14095
,,,,,,,,392,15538,22345,12465,15681,31363,15206
,,,,,,,,393,15701,22860,13151,16662,31654,15567
,,,,,,,,394,15915,23521,13292,17223,31302,15826
,,,,,,,,395,16933,25616,13408,18243,31631,16365
,,,,,,,,396,18666,28870,13716,19829,32464,17088
,,,,,,,,397,20237,31129,14052,21764,33032,17588
,,,,,,,,398,21994,33100,14425,23458,32827,17843
,,,,,,,,399,24710,36305,14603,25156,33457,18666
,,,,,,,,400,28682,41156,15210,27633,35639,20431
,,,,,,,,401,32098,45462,16120,30465,38414,22187
,,,,,,,,402,34024,47748,17079,32254,40435,23687
,,,,,,,,403,30679,43055,17143,31627,37315,21553
,,,,,,,,404,26249,36837,15571,28035,32799,18473
,,,,,,,,405,25538,35838,14086,24971,31329,17736
,,,,,,,,406,24088,33804,13332,22598,29118,16936
,,,,,,,,407,21377,30000,12127,20320,25959,15339
,,,,,,,,408,19303,27090,11029,18261,23610,14215
,,,,,,,,409,17628,24739,10358,17039,21975,13320
,,,,,,,,410,16633,23343,9923,16022,21328,12847
,,,,,,,,411,15973,22415,9744,15468,20919,12433
,,,,,,,,412,15534,21813,9693,15224,21308,12391
,,,,,,,,413,14694,20680,9877,15229,22316,12374
,,,,,,,,414,14181,20098,10379,15113,24950,13095
,,,,,,,,415,14415,20651,11475,15452,28385,14282
,,,,,,,,416,15900,22897,12583,16105,31037,15550
,,,,,,,,417,15877,23068,13281,16917,31383,16047
,,,,,,,,418,16048,23308,13416,17517,31077,16371
