R_ID,Zone_name,Zone,Resource,Cluster,New_Build,Num_Units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,capex,Inv_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,Min_Duration,Max_Duration,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
94,WECC_N,3,nuclear,1,-1,40,34.9,1396,2792,-1,1152631.419,125130.196,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
95,WECC_N,3,naturalgas_ccs100,1,-1,4,53.5,214,33968.25,-1,1152631.419,121203.051,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
96,WECC_NMAZ,4,naturalgas_ccccsavgcf,1,-1,6,270.5,1623,257619.05,-1,1152631.419,128957.586,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
97,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_0,1,0,0,0,0,63288.7286,785075.416,83403.596,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
98,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_1,1,0,0,0,0,63288.7286,785075.416,80462.505,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
99,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_2,1,0,0,0,0,63288.7286,328200,35811,0,0,8205,0,0,None,0,0,0,0,1,1,0,0,0,0,0,0.92,0.92,1,10,0,0,0,2,0,0,1
100,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_3,1,0,0,0,0,63288.7286,5912426.309,466046.343,0,0,100888,0,2.3,rockies_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
101,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_4,1,0,0,0,0,63288.7286,1989354.76,156779,0,0,43290,0,7.7,rockies_naturalgas_ccs100,7.86,0,0,0.6,1,1,1,87,3.5,6,6,1,1,0,0,1,0,0,0,0,0,1
102,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_5,1,0,0,0,0,63288.7286,656055.873,95310,0,0,7143,0,11.2,biogas,8.8,0,0,0.3,1,1,0,118,3.5,1,1,1,1,0,0,0,0,1,0,0,0,1
103,WECC_NMAZ,4,new_onshore_wind,WECC_NMAZ_6,1,0,0,0,0,63288.7286,656055.873,95310,0,0,7143,0,11.2,biogas,8.8,0,0,0.3,1,1,0,118,3.5,1,1,1,1,0,0,0,0,1,0,0,0,1
