,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z4,ev_load_shifting_z5,ev_load_shifting_z6
1341,0.799,0.738,0.816,0.686,0.669,0.765
1342,0.749,0.681,0.756,0.621,0.63,0.693
1343,0.668,0.613,0.677,0.54,0.558,0.602
1344,0.557,0.527,0.574,0.437,0.459,0.477
1345,0.308,0.246,0.269,0.182,0.254,0.229
1346,0.246,0.174,0.219,0.135,0.2,0.178
1347,0.196,0.127,0.187,0.106,0.159,0.166
1348,0.184,0.104,0.179,0.097,0.147,0.158
1349,0.178,0.095,0.176,0.098,0.137,0.16
1350,0.188,0.095,0.213,0.142,0.142,0.249
1351,0.32,0.147,0.316,0.26,0.228,0.449
1352,0.538,0.284,0.459,0.4,0.39,0.547
1353,0.657,0.409,0.539,0.477,0.469,0.638
1354,0.743,0.487,0.602,0.53,0.537,0.713
1355,0.791,0.542,0.659,0.574,0.583,0.695
1356,0.775,0.573,0.644,0.563,0.582,0.732
1357,0.799,0.57,0.651,0.559,0.603,0.695
1358,0.748,0.555,0.615,0.529,0.568,0.678
1359,0.716,0.525,0.594,0.511,0.548,0.665
1360,0.699,0.508,0.581,0.501,0.535,0.666
1361,0.703,0.5,0.562,0.482,0.536,0.656
1362,0.713,0.477,0.587,0.509,0.526,0.683
1363,0.77,0.511,0.639,0.551,0.573,0.787
1364,0.864,0.569,0.687,0.577,0.67,0.765
1365,0.822,0.576,0.652,0.539,0.649,0.722
1366,0.761,0.54,0.581,0.474,0.599,0.571
1367,0.569,0.459,0.465,0.366,0.464,0.425
1368,0.425,0.348,0.349,0.263,0.339,0.289
1369,0.308,0.247,0.252,0.181,0.238,0.209
1370,0.239,0.171,0.198,0.131,0.182,0.161
1371,0.198,0.123,0.172,0.109,0.147,0.161
1372,0.204,0.107,0.182,0.12,0.146,0.188
1373,0.24,0.121,0.218,0.164,0.165,0.242
1374,0.324,0.163,0.336,0.272,0.22,0.469
1375,0.632,0.298,0.512,0.438,0.423,0.645
1376,0.823,0.463,0.587,0.495,0.591,0.6
1377,0.757,0.493,0.531,0.44,0.551,0.495
1378,0.62,0.426,0.458,0.386,0.463,0.489
1379,0.593,0.386,0.467,0.402,0.461,0.518
1380,0.629,0.407,0.482,0.411,0.494,0.513
1381,0.613,0.41,0.471,0.404,0.484,0.507
1382,0.602,0.403,0.459,0.392,0.482,0.489
1383,0.583,0.387,0.45,0.392,0.471,0.527
1384,0.629,0.396,0.484,0.424,0.506,0.585
1385,0.695,0.432,0.501,0.43,0.548,0.573
1386,0.697,0.422,0.525,0.454,0.533,0.616
1387,0.746,0.461,0.557,0.476,0.564,0.597
1388,0.699,0.478,0.54,0.457,0.559,0.601
1389,0.675,0.46,0.524,0.437,0.553,0.553
1390,0.625,0.434,0.466,0.394,0.509,0.504
1391,0.521,0.391,0.411,0.337,0.437,0.386
1392,0.4,0.321,0.323,0.253,0.328,0.297
1393,0.309,0.242,0.255,0.187,0.247,0.218
1394,0.243,0.178,0.2,0.135,0.188,0.167
1395,0.2,0.127,0.174,0.113,0.149,0.167
1396,0.205,0.111,0.183,0.125,0.149,0.193
1397,0.24,0.126,0.219,0.17,0.167,0.249
1398,0.324,0.169,0.335,0.281,0.223,0.475
1399,0.633,0.306,0.511,0.445,0.427,0.645
1400,0.833,0.469,0.59,0.5,0.598,0.598
1401,0.773,0.497,0.534,0.445,0.555,0.488
1402,0.636,0.432,0.463,0.391,0.468,0.482
1403,0.607,0.391,0.475,0.406,0.468,0.516
1404,0.64,0.412,0.49,0.416,0.505,0.506
1405,0.625,0.413,0.479,0.407,0.493,0.501
1406,0.61,0.407,0.466,0.398,0.488,0.483
1407,0.588,0.393,0.458,0.398,0.477,0.526
1408,0.633,0.402,0.493,0.427,0.513,0.582
1409,0.691,0.437,0.509,0.432,0.556,0.575
1410,0.674,0.425,0.534,0.455,0.547,0.619
1411,0.733,0.462,0.566,0.477,0.583,0.598
1412,0.701,0.479,0.551,0.459,0.571,0.606
1413,0.685,0.463,0.534,0.44,0.564,0.556
1414,0.635,0.437,0.48,0.396,0.519,0.505
1415,0.532,0.393,0.424,0.339,0.449,0.388
1416,0.41,0.324,0.331,0.257,0.336,0.299
1417,0.315,0.245,0.26,0.19,0.25,0.216
1418,0.244,0.18,0.205,0.138,0.187,0.166
1419,0.202,0.13,0.178,0.116,0.151,0.166
1420,0.207,0.114,0.186,0.129,0.151,0.193
1421,0.243,0.129,0.223,0.173,0.17,0.249
1422,0.327,0.172,0.34,0.282,0.227,0.476
