Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,258,17275,24244,12815,20817,27946,14878
,,,,,,,,259,18563,26049,13119,21401,29425,14721
,,,,,,,,260,18419,25849,13036,21206,29423,14444
,,,,,,,,261,17951,25191,12691,20651,28878,13841
,,,,,,,,262,16976,23823,12015,19448,27487,13016
,,,,,,,,263,15494,21744,11283,18182,25373,12400
,,,,,,,,264,14124,19822,10777,17524,23555,12149
,,,,,,,,265,13196,18519,10535,17197,22550,11996
,,,,,,,,266,12666,17775,10461,17095,22089,12090
,,,,,,,,267,12412,17418,10512,17190,22004,12371
,,,,,,,,268,12397,17398,10680,17640,22251,12589
,,,,,,,,269,12766,17916,11154,18936,23250,13135
,,,,,,,,270,13744,19123,12187,20206,25534,14007
,,,,,,,,271,15048,20887,13086,19671,28686,14211
,,,,,,,,272,15388,20799,13228,17594,30106,14203
,,,,,,,,273,15363,20657,13037,16088,29615,13998
,,,,,,,,274,15001,20764,12800,15511,29068,13883
,,,,,,,,275,14350,20788,12568,15594,28591,13711
,,,,,,,,276,13846,20447,12402,15415,28189,13566
,,,,,,,,277,13644,20306,12192,15879,27772,13542
,,,,,,,,278,14383,20594,12035,16977,27384,13392
,,,,,,,,279,15299,21295,11942,16768,27004,13519
,,,,,,,,280,15628,21932,11994,18195,26985,13702
,,,,,,,,281,15687,22016,12209,19038,27534,14193
,,,,,,,,282,16467,23109,12836,20636,28881,14832
,,,,,,,,283,17811,24995,13000,21223,29436,14774
,,,,,,,,284,17636,24751,12831,21064,28931,14496
,,,,,,,,285,17207,24148,12402,20464,28015,13933
,,,,,,,,286,16328,22914,11730,19245,26487,13158
,,,,,,,,287,15034,21098,11005,18079,24438,12555
,,,,,,,,288,13736,19277,10477,17286,22605,12252
,,,,,,,,289,12907,18114,10183,16909,21455,12156
,,,,,,,,290,12439,17456,10053,16776,20877,12198
,,,,,,,,291,12217,17145,10031,16899,20668,12362
,,,,,,,,292,12105,16988,10192,17426,20821,12458
,,,,,,,,293,12364,17339,10631,18588,21759,12977
,,,,,,,,294,13249,18077,11529,20078,23830,13756
,,,,,,,,295,14476,19305,12362,19430,26776,13919
,,,,,,,,296,14920,18976,12598,17502,28281,13955
,,,,,,,,297,14672,18785,12499,16325,28092,13873
,,,,,,,,298,14685,17633,12347,15523,27706,13748
,,,,,,,,299,14730,16774,12159,15035,27222,13614
,,,,,,,,300,14694,16602,11898,14791,26662,13516
,,,,,,,,301,14812,17337,11652,14864,26132,13408
,,,,,,,,302,15049,19004,11485,15426,25841,13286
,,,,,,,,303,15169,20591,11415,16453,25791,13339
,,,,,,,,304,15363,21559,11428,17826,26042,13508
,,,,,,,,305,15373,21573,11639,18720,26519,13945
,,,,,,,,306,16077,22562,12186,20010,27781,14458
,,,,,,,,307,17228,24178,12275,20403,28150,14240
,,,,,,,,308,16919,23743,12102,20194,27567,14000
,,,,,,,,309,16452,23087,11783,19703,26780,13574
,,,,,,,,310,15698,22031,11268,18961,25632,12936
,,,,,,,,311,14602,20491,10720,18034,24080,12337
