Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z8,Load_MW_z12,Load_MW_z5,Load_MW_z6,Load_MW_z9,Load_MW_z7,Load_MW_z1,Load_MW_z4,Load_MW_z3,Load_MW_z2,Load_MW_z11,Load_MW_z10
,,,,106,8220.936651,6991.287671,2084.772516,1266.759306,2349.10116,3780.094476,12033.92175,16589.72679,2203.454559,11592.08703,2717.27472,1710.240709
,,,,107,8298.430547,7039.022701,2090.327869,1265.757202,2388.063968,3719.21857,11769.53081,16463.36151,2155.452528,11338.16032,2709.598232,1722.260473
,,,,108,8652.225796,7237.756296,2148.305554,1294.016527,2501.498625,3735.749409,11768.82496,16687.63232,2151.620433,11333.824,2776.464482,1748.320129
,,,,109,9385.827477,7634.032816,2305.471544,1345.324237,2725.669684,3811.036647,12136.97573,17558.36024,2213.539019,11679.21676,2914.136233,1834.579612
,,,,110,10495.99768,8303.405665,2556.371492,1497.443581,2971.534717,4013.783371,13043.48774,19426.38178,2382.857106,12506.04166,3185.540484,1999.018065
,,,,111,10884.00681,8618.716647,2753.637031,1654.473233,3014.167153,4217.081569,14493.90696,21997.98033,2641.926889,13779.70898,3488.963771,2121.33684
,,,,112,10525.67849,8538.725293,2734.74883,1679.626037,2969.699904,4234.107269,15196.93274,23436.09937,2769.495311,14380.74281,3592.697365,2143.356239
,,,,113,10157.20473,8442.172805,2705.759988,1645.4543,2921.563027,4215.656498,15477.35653,23072.23551,2836.456127,14746.40534,3543.305225,2103.256691
,,,,114,9951.813532,8425.50343,2673.437933,1623.307808,2885.298474,4183.962078,15655.53303,22675.30223,2873.062717,15016.26549,3520.982806,2089.216798
,,,,115,9734.981727,8380.041496,2623.237742,1597.052691,2841.802597,4154.079661,15711.09344,22376.27448,2899.584848,15163.29692,3492.903021,2069.11652
,,,,116,9576.432239,8280.133485,2490.616312,1586.02955,2783.736141,4121.791011,15777.94744,21939.7581,2922.375728,15280.17582,3407.552596,2037.097485
,,,,117,9463.429302,8209.018032,2458.193252,1562.880954,2752.868099,4083.776763,15740.83994,21692.3387,2921.064748,15292.78139,3379.472811,2025.077721
,,,,118,9380.107175,8130.217347,2408.094067,1557.870435,2710.235664,4049.113647,15721.37867,21479.09103,2927.417958,15334.22853,3336.747096,2001.038193
,,,,119,9380.107175,8131.408017,2379.105224,1555.766017,2694.801643,4037.025463,15650.79375,21269.05009,2910.980288,15265.35166,3298.970694,1996.997936
,,,,120,9504.550715,8411.107151,2409.205138,1584.025342,2740.995775,4000.863544,15565.99102,21369.16025,2889.500388,15151.49811,3340.686346,2033.057228
,,,,121,10080.68221,9177.032487,2592.026758,1662.590274,2983.299111,4211.935553,15719.05945,22650.04922,2914.812383,15282.89862,3478.358097,2175.476281
,,,,122,10821.19142,9181.470438,2721.314977,1733.038165,3106.663348,4616.972841,17156.77339,24278.26733,3180.134531,16552.8347,3651.887127,2191.435295
,,,,123,10788.16478,8998.323792,2714.648553,1728.027646,3093.064141,4646.467526,17379.72089,24469.56893,3216.741122,16698.55515,3628.554644,2155.376003
,,,,124,10612.45439,8769.606969,2680.104357,1689.747284,3045.035195,4605.171383,16976.47934,24139.7766,3138.384866,16292.55478,3601.484923,2147.396496
,,,,125,10292.98095,8305.678762,2585.360335,1623.307808,2904.402123,4541.35855,16467.56209,23610.96647,3037.338574,15753.23785,3522.901928,2063.157142
,,,,126,9658.567134,7752.775057,2443.749333,1513.477241,2693.830271,4437.974425,15689.11128,22446.62216,2884.458157,15001.84472,3335.838038,1962.857766
,,,,127,9025.340554,7343.184685,2270.927348,1422.887065,2501.498625,4222.991259,14469.20224,20720.49851,2649.490234,13875.81389,3106.048432,1854.578884
,,,,128,8643.051728,7011.31257,2185.071891,1357.449692,2386.229154,4013.613134,13322.90318,19277.97022,2435.901367,12779.9356,2967.467623,1782.4603
,,,,129,8526.702954,6853.602958,2156.083048,1345.324237,2339.063649,3875.438415,12590.63507,18464.36221,2299.45862,12094.69652,2884.03632,1754.380515
,,,,130,8517.528886,6749.256996,2144.972342,1322.175642,2322.766187,3806.481996,12086.7596,18081.75901,2204.765538,11634.84514,2878.278954,1730.340987
,,,,131,8611.104384,6793.744746,2186.182962,1332.296889,2350.935973,3778.174544,11831.84721,18056.506,2157.973643,11386.76742,2881.107133,1744.380879
,,,,132,8955.725565,6984.684866,2256.48343,1356.447589,2438.035658,3790.984438,11815.81435,18314.84834,2149.099318,11359.13599,2923.832849,1784.480428
,,,,133,9738.435494,7435.299221,2404.760855,1423.889169,2643.103069,3882.853832,12164.90719,19268.04939,2208.496789,11675.78805,3060.494536,1890.739182
,,,,134,10800.68468,8108.027594,2701.315705,1568.893576,2893.501171,4086.214336,13081.9061,21207.52092,2376.604741,12501.30196,3311.596497,2041.137742
,,,,135,11242.2272,8467.718082,2890.80375,1723.017128,2944.336303,4287.054984,14507.11642,23786.83567,2630.531449,13751.77503,3553.910899,2173.456153
,,,,136,10882.81958,8540.998389,2956.558929,1751.176242,2914.331703,4261.025483,15263.28256,25270.04938,2772.016426,14413.01308,3674.108539,2205.475188
,,,,137,10436.74399,8543.163243,2890.80375,1728.027646,2877.095778,4223.767977,15574.86455,25088.5684,2835.245992,14768.89369,3679.966912,2217.494952
,,,,138,10151.48443,8498.783737,2821.715358,1695.759906,2844.500853,4181.898382,15645.95365,24668.58673,2860.457142,14914.71498,3681.886034,2213.555702
,,,,139,9855.971499,8376.685973,2736.970972,1679.626037,2812.769369,4160.669931,15698.38816,24234.37519,2876.894812,15045.00621,3622.797278,2169.415896
,,,,140,9598.126212,8300.050142,2666.670503,1621.3036,2764.632493,4119.221465,15641.71855,23770.40117,2884.458157,15053.88053,3542.295161,2139.315983
,,,,141,9430.402656,8245.712307,2592.026758,1620.301497,2740.995775,4081.207216,15467.67631,23418.56256,2854.103932,14925.10197,3474.418846,2103.256691
,,,,142,9359.600434,8146.886723,2559.704704,1593.044276,2709.264292,4050.930143,15371.98333,23207.4193,2842.809337,14876.59572,3432.804201,2077.197034
,,,,143,9300.238815,8167.994049,2529.604791,1585.027446,2675.697994,4000.406582,15224.25918,23076.64477,2817.497342,14755.07797,3406.542532,2073.156777
,,,,144,9396.080847,8427.776526,2589.804617,1642.447989,2696.528526,4000.693308,15086.11441,23372.36558,2784.622001,14582.93624,3431.794137,2127.296219
,,,,145,9924.399257,9168.156586,2734.74883,1720.91271,2898.897682,4193.767443,15342.64017,24403.63051,2835.245992,14781.09588,3594.616487,2253.65525
,,,,146,10571.33297,9202.577764,2797.170798,1739.050787,2972.398159,4576.516526,16827.94851,25355.82946,3099.25716,16107.40409,3681.886034,2255.675379
,,,,147,10469.77064,9064.893051,2740.304184,1712.89588,2944.336303,4591.962767,17003.90662,25064.4177,3135.863751,16194.23129,3619.868092,2229.514716
,,,,148,10313.48769,8845.160373,2680.104357,1674.615518,2909.798634,4535.968566,16576.16202,24304.72287,3048.734014,15837.54393,3540.376039,2171.436024
,,,,149,10086.40251,8552.039145,2600.915323,1616.192872,2814.496253,4500.92708,16140.55225,23606.55721,2967.856643,15407.94593,3466.742359,2143.356239
,,,,150,9626.61979,8074.797086,2477.182459,1546.747084,2643.966511,4422.619829,15403.04069,22530.19761,2823.850552,14699.31091,3323.212235,2025.077721
,,,,151,9107.475449,7751.69263,2324.460751,1446.035661,2477.861908,4268.3354,14418.78444,21007.40081,2634.262699,13796.65088,3140.996653,1956.898387
,,,,152,8798.255379,7406.506663,2226.383517,1376.589873,2374.46476,4126.399408,13474.25741,19702.36114,2456.171132,12943.60638,2977.164239,1884.678797
,,,,153,8630.531823,7212.211019,2156.083048,1362.460211,2291.898145,3953.535101,12717.8896,18688.63302,2320.93852,12257.15718,2852.118291,1834.579612
,,,,154,8523.249188,7102.34468,2139.416989,1348.330548,2270.096241,3860.765202,12175.9991,18183.97359,2221.203209,11757.0688,2788.08022,1800.540449
,,,,155,8550.663462,7112.303008,2132.750565,1338.309511,2288.336448,3811.901319,11841.12409,17979.54443,2155.452528,11430.23144,2774.54536,1812.560213
,,,,156,8758.321199,7186.665742,2160.527331,1353.441277,2325.464442,3801.33841,11725.66733,17997.08125,2126.409283,11301.55373,2800.706023,1822.559848
