Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,289,13379.0,20859.0,14064.0,23874.0,24430.0,12605.0
,,,,,,,,290,14493.0,22608.0,14211.0,23953.0,23681.0,12213.0
,,,,,,,,291,14860.0,23189.0,14035.0,23650.0,23258.0,12307.0
,,,,,,,,292,14743.0,23003.0,14378.0,24294.0,24043.0,12511.0
,,,,,,,,293,14896.0,23236.0,15320.0,25235.0,25716.0,14112.0
,,,,,,,,294,16124.0,25151.0,17194.0,27033.0,29761.0,16326.0
,,,,,,,,295,18092.0,28231.0,18853.0,29629.0,35672.0,18019.0
,,,,,,,,296,20172.0,31485.0,19777.0,31948.0,39071.0,18004.0
,,,,,,,,297,21097.0,32923.0,19943.0,33050.0,38639.0,17838.0
,,,,,,,,298,21725.0,33892.0,19820.0,33932.0,36973.0,18146.0
,,,,,,,,299,23098.0,36029.0,20343.0,35844.0,37549.0,19089.0
,,,,,,,,300,24569.0,38326.0,21159.0,37935.0,38195.0,19889.0
,,,,,,,,301,25591.0,39923.0,21570.0,39305.0,38598.0,19997.0
,,,,,,,,302,26046.0,40631.0,21468.0,39381.0,38170.0,19798.0
,,,,,,,,303,23662.0,36889.0,21956.0,42204.0,38071.0,21666.0
,,,,,,,,304,25659.0,40014.0,24004.0,46215.0,42073.0,24685.0
,,,,,,,,305,27863.0,43469.0,26259.0,48857.0,46121.0,26816.0
,,,,,,,,306,28512.0,44500.0,26472.0,47971.0,48756.0,22937.0
,,,,,,,,307,24563.0,38335.0,23189.0,42274.0,43071.0,18013.0
,,,,,,,,308,20641.0,32206.0,19982.0,36162.0,36373.0,16894.0
,,,,,,,,309,19866.0,31000.0,18155.0,32761.0,34176.0,15248.0
,,,,,,,,310,16283.0,25391.0,16372.0,29696.0,30269.0,13458.0
