Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,240,0.0,35202.0,2812.0
,,,,,,,,241,0.0,34554.0,2779.0
,,,,,,,,242,0.0,34971.0,2767.0
,,,,,,,,243,0.0,37475.0,2834.0
,,,,,,,,244,0.0,42036.0,3022.0
,,,,,,,,245,0.0,43868.0,3152.0
,,,,,,,,246,0.0,43462.0,3136.0
,,,,,,,,247,0.0,45182.0,3206.0
,,,,,,,,248,0.0,47926.0,3278.0
,,,,,,,,249,0.0,50470.0,3305.0
,,,,,,,,250,0.0,52173.0,3321.0
,,,,,,,,251,0.0,54197.0,3374.0
,,,,,,,,252,0.0,55240.0,3397.0
,,,,,,,,253,0.0,55015.0,3414.0
,,,,,,,,254,0.0,54597.0,3434.0
,,,,,,,,255,0.0,53042.0,3365.0
,,,,,,,,256,0.0,51675.0,3278.0
,,,,,,,,257,0.0,51846.0,3325.0
,,,,,,,,258,0.0,50250.0,3285.0
,,,,,,,,259,0.0,47340.0,3179.0
,,,,,,,,260,0.0,43180.0,3015.0
,,,,,,,,261,0.0,38945.0,2848.0
,,,,,,,,262,0.0,35673.0,2769.0
,,,,,,,,263,0.0,33571.0,2716.0
,,,,,,,,264,0.0,32232.0,2694.0
,,,,,,,,265,0.0,31674.0,2685.0
,,,,,,,,266,0.0,31807.0,2708.0
,,,,,,,,267,0.0,33656.0,2815.0
,,,,,,,,268,0.0,37758.0,3046.0
,,,,,,,,269,0.0,39602.0,3191.0
,,,,,,,,270,0.0,38832.0,3188.0
,,,,,,,,271,0.0,39405.0,3201.0
,,,,,,,,272,0.0,40083.0,3220.0
,,,,,,,,273,0.0,40288.0,3202.0
,,,,,,,,274,0.0,40103.0,3160.0
,,,,,,,,275,0.0,39843.0,3148.0
,,,,,,,,276,0.0,39235.0,3120.0
,,,,,,,,277,0.0,38698.0,3093.0
,,,,,,,,278,0.0,38409.0,3090.0
,,,,,,,,279,0.0,38015.0,3067.0
,,,,,,,,280,0.0,38527.0,3076.0
,,,,,,,,281,0.0,39680.0,3182.0
,,,,,,,,282,0.0,39013.0,3190.0
,,,,,,,,283,0.0,37944.0,3145.0
,,,,,,,,284,0.0,36158.0,3078.0
,,,,,,,,285,0.0,34006.0,2980.0
,,,,,,,,286,0.0,32147.0,2912.0
,,,,,,,,287,0.0,30917.0,2868.0
,,,,,,,,288,0.0,30359.0,2849.0
,,,,,,,,289,0.0,30102.0,2848.0
,,,,,,,,290,0.0,30384.0,2868.0
,,,,,,,,291,0.0,31486.0,2921.0
,,,,,,,,292,0.0,33349.0,3016.0
,,,,,,,,293,0.0,35409.0,3128.0
,,,,,,,,294,0.0,36928.0,3213.0
,,,,,,,,295,0.0,38015.0,3269.0
,,,,,,,,296,0.0,38128.0,3266.0
,,,,,,,,297,0.0,37533.0,3228.0
,,,,,,,,298,0.0,36546.0,3152.0
,,,,,,,,299,0.0,35543.0,3093.0
,,,,,,,,300,0.0,34707.0,3040.0
,,,,,,,,301,0.0,34309.0,3002.0
,,,,,,,,302,0.0,34132.0,3001.0
,,,,,,,,303,0.0,34215.0,3000.0
,,,,,,,,304,0.0,35007.0,3005.0
,,,,,,,,305,0.0,37217.0,3102.0
,,,,,,,,306,0.0,37055.0,3124.0
,,,,,,,,307,0.0,36271.0,3090.0
,,,,,,,,308,0.0,34813.0,3032.0
